name,url,dob,collage,from_year,to_year,pos,height,weight,nba_debut,career_length,g,pts,trb,ast
Mark Hendrickson,https://www.basketball-reference.com/players/h/hendrma01.html,"June 23, 1974",Washington State,1997,2000,F,6-9,220,"November 20, 1996",4 years,114,3.3,2.8,0.6
Larry Hennessy,https://www.basketball-reference.com/players/h/hennela01.html,"May 20, 1929",Villanova,1956,1957,G,6-3,185,"November 5, 1955",2 years,74,4.5,1.3,1.0
Don Henriksen,https://www.basketball-reference.com/players/h/henrido01.html,"October 10, 1929",California,1953,1955,F-C,6-7,225,"November 1, 1952",2 years,138,7.2,7.2,1.7
Aaron Henry,https://www.basketball-reference.com/players/h/henryaa01.html,"August 30, 1999",Michigan State,2022,2022,F,6-6,210,"October 20, 2021",1 year,6,0.3,0.2,0.0
Al Henry,https://www.basketball-reference.com/players/h/henryal01.html,"February 9, 1949",Wisconsin,1971,1972,C,6-9,190,"October 16, 1970",2 years,49,4.0,3.0,0.2
Bill Henry,https://www.basketball-reference.com/players/h/henrybi01.html,"December 27, 1924",Rice University,1949,1950,C,6-9,215,,2 years,95,6.5,-,1.1
Carl Henry,https://www.basketball-reference.com/players/h/henryca01.html,"August 16, 1960",Oklahoma City University,1986,1986,G,6-6,205,"October 25, 1985",1 year,28,2.8,0.7,0.1
Conner Henry,https://www.basketball-reference.com/players/h/henryco01.html,"July 21, 1963",UC Santa Barbara,1987,1988,G,6-7,195,"November 1, 1986",2 years,93,3.3,0.9,1.1
Myke Henry,https://www.basketball-reference.com/players/h/henrymy01.html,"December 23, 1992",DePaul,2018,2018,F,6-6,210,"January 20, 2018",1 year,20,5.4,1.9,1.1
Skeeter Henry,https://www.basketball-reference.com/players/h/henrysk01.html,"December 8, 1967",Midland College,1994,1994,G,6-7,190,"April 18, 1994",1 year,4,1.0,0.5,1.0
Xavier Henry,https://www.basketball-reference.com/players/h/henryxa01.html,"March 15, 1991",Kansas,2011,2015,G,6-6,220,"October 27, 2010",5 years,185,5.7,1.9,0.6
John Henson,https://www.basketball-reference.com/players/h/hensojo01.html,"December 28, 1990",UNC,2013,2020,C-F,6-9,219,"November 7, 2012",8 years,445,7.6,5.3,1.1
Steve Henson,https://www.basketball-reference.com/players/h/hensost01.html,"February 2, 1968",Kansas State,1991,1999,G,5-11,177,"November 2, 1990",7 years,238,3.1,0.7,2.0
Charlie Hentz,https://www.basketball-reference.com/players/h/hentzch01.html,"September 13, 1947",University of Arkansas at Pine Bluff,1971,1971,F,6-5,210,,1 year,57,6.0,6.8,0.5
Bill Herman,https://www.basketball-reference.com/players/h/hermabi01.html,"May 17, 1924",Mount Union College,1950,1950,G,6-3,170,"January 31, 1950",1 year,13,4.3,-,1.2
Kleggie Hermsen,https://www.basketball-reference.com/players/h/hermskl01.html,"March 12, 1923",Minnesota,1947,1953,C-F,6-9,225,"November 3, 1946",6 years,288,9.3,5.8,1.3
Dewan Hernandez,https://www.basketball-reference.com/players/h/hernade01.html,"December 9, 1996",Miami (FL),2020,2020,F,6-10,235,"November 18, 2019",1 year,6,2.3,2.3,0.5
Juancho Hernangómez,https://www.basketball-reference.com/players/h/hernaju01.html,"September 28, 1995",None,2017,2023,F,6-9,214,"October 26, 2016",7 years,339,5.0,3.3,0.6
Willy Hernangómez,https://www.basketball-reference.com/players/h/hernawi01.html,"May 27, 1994",None,2017,2023,C,6-11,250,"October 25, 2016",7 years,344,7.3,5.8,1.1
Chris Herren,https://www.basketball-reference.com/players/h/herrech01.html,"September 27, 1975",Boston College,2000,2001,G,6-2,197,"November 14, 1999",2 years,70,3.2,1.0,2.4
Carl Herrera,https://www.basketball-reference.com/players/h/herreca01.html,"December 14, 1966",Jacksonville College,1992,1999,F,6-9,215,"November 12, 1991",8 years,465,5.3,3.6,0.6
Walter Herrmann,https://www.basketball-reference.com/players/h/herrmwa01.html,"June 26, 1979",None,2007,2009,F,6-9,225,"November 10, 2006",3 years,152,5.4,2.1,0.4
Tyler Herro,https://www.basketball-reference.com/players/h/herroty01.html,"January 20, 2000",Kentucky,2020,2023,G,6-5,195,"October 23, 2019",4 years,242,17.7,4.9,3.5
Keith Herron,https://www.basketball-reference.com/players/h/herroke01.html,"June 14, 1956",Villanova,1979,1982,G-F,6-6,195,"October 28, 1978",3 years,124,9.8,2.0,1.4
Sonny Hertzberg,https://www.basketball-reference.com/players/h/hertzso01.html,"July 29, 1922",City College of New York,1947,1951,G,5-10,175,"November 1, 1946",5 years,293,8.7,4.0,2.1
Kevin Hervey,https://www.basketball-reference.com/players/h/herveke01.html,"July 9, 1996",UT Arlington,2020,2020,F,6-9,230,"December 26, 2019",1 year,10,1.7,1.2,0.5
Dan Hester,https://www.basketball-reference.com/players/h/hesteda01.html,"November 8, 1948",,1971,1971,F,6-8,210,,1 year,42,5.9,5.6,0.8
Fred Hetzel,https://www.basketball-reference.com/players/h/hetzefr01.html,"July 21, 1942",Davidson,1966,1971,F-C,6-8,220,"November 3, 1965",6 years,416,11.2,5.9,1.1
Bill Hewitt,https://www.basketball-reference.com/players/h/hewitbi01.html,"August 8, 1944",USC,1969,1975,F,6-7,210,"October 18, 1968",6 years,361,5.7,5.5,1.3
Jack Hewson,https://www.basketball-reference.com/players/h/hewsoja01.html,"September 7, 1924",Temple,1948,1948,F-C,6-6,195,,1 year,24,2.7,-,0.0
Art Heyman,https://www.basketball-reference.com/players/h/heymaar01.html,"June 24, 1941",Duke,1964,1970,F-G,6-5,205,"October 17, 1963",6 years,310,13.0,4.7,2.8
Mario Hezonja,https://www.basketball-reference.com/players/h/hezonma01.html,"February 25, 1995",None,2016,2020,F-G,6-8,220,"October 28, 2015",5 years,330,6.9,3.1,1.3
Roy Hibbert,https://www.basketball-reference.com/players/h/hibbero01.html,"December 11, 1986",Georgetown,2009,2017,C,7-2,270,"October 29, 2008",9 years,662,10.0,6.3,1.3
Nat Hickey,https://www.basketball-reference.com/players/h/hickena01.html,"January 30, 1902",None,1948,1948,G-F,5-11,180,"January 27, 1948",1 year,2,1.0,-,0.0
Isaiah Hicks,https://www.basketball-reference.com/players/h/hicksis01.html,"July 24, 1994",UNC,2018,2019,F,6-9,230,"February 8, 2018",2 years,21,4.4,2.3,0.9
Phil Hicks,https://www.basketball-reference.com/players/h/hicksph01.html,"January 31, 1953",Tulane,1977,1979,F,6-7,205,"October 21, 1976",2 years,57,2.3,1.6,0.6
J.J. Hickson,https://www.basketball-reference.com/players/h/hicksjj01.html,"September 4, 1988",NC State,2009,2016,F-C,6-9,242,"October 30, 2008",8 years,534,9.5,6.8,0.8
Buddy Hield,https://www.basketball-reference.com/players/h/hieldbu01.html,"December 17, 1992",Oklahoma,2017,2023,G-F,6-4,220,"October 26, 2016",7 years,548,16.1,4.4,2.6
Bill Higgins,https://www.basketball-reference.com/players/h/higgibi01.html,"December 15, 1952",Ashland University,1975,1975,G,6-2,180,,1 year,15,9.2,1.4,2.1
Cory Higgins,https://www.basketball-reference.com/players/h/higgico01.html,"June 14, 1989",Colorado,2012,2013,G,6-5,180,"January 1, 2012",2 years,44,3.7,0.9,0.9
Earle Higgins,https://www.basketball-reference.com/players/h/higgiea01.html,"December 30, 1946",,1971,1971,F,6-8,195,,1 year,53,4.4,2.4,0.7
Mike Higgins,https://www.basketball-reference.com/players/h/higgimi01.html,"February 17, 1967",University of Northern Colorado,1990,1991,F,6-9,220,"November 12, 1989",2 years,18,1.7,0.5,0.3
Rod Higgins,https://www.basketball-reference.com/players/h/higgiro01.html,"January 31, 1960",Fresno State,1983,1995,F,6-7,200,"October 29, 1982",13 years,779,9.0,3.6,1.6
Sean Higgins,https://www.basketball-reference.com/players/h/higgise01.html,"December 30, 1968",Michigan,1991,1998,G-F,6-9,205,"November 3, 1990",6 years,220,6.3,1.8,1.0
Kenny Higgs,https://www.basketball-reference.com/players/h/higgske01.html,"January 31, 1955",LSU,1979,1982,G,6-0,180,"October 13, 1978",3 years,216,6.8,1.8,4.4
Johnny High,https://www.basketball-reference.com/players/h/highjo01.html,"April 25, 1957",Nevada,1980,1984,G,6-3,185,"October 12, 1979",4 years,274,5.1,2.3,1.9
Haywood Highsmith,https://www.basketball-reference.com/players/h/highsha01.html,"December 9, 1996",Wheeling University,2019,2023,F,6-7,220,"January 8, 2019",3 years,78,3.7,2.8,0.7
Wayne Hightower,https://www.basketball-reference.com/players/h/hightwa01.html,"January 14, 1940",Kansas,1963,1972,F-C,6-8,192,"October 23, 1962",10 years,565,11.6,7.0,1.7
Nenê,https://www.basketball-reference.com/players/h/hilarne01.html,"September 13, 1982",None,2003,2019,F-C,6-11,250,"October 30, 2002",17 years,965,11.3,6.0,1.8
Armond Hill,https://www.basketball-reference.com/players/h/hillar01.html,"March 31, 1953",Princeton,1977,1984,G,6-4,190,"October 21, 1976",8 years,468,6.9,2.0,4.7
Cleo Hill,https://www.basketball-reference.com/players/h/hillcl01.html,"May 24, 1938",Winston-Salem State,1962,1962,G,6-1,185,"October 21, 1961",1 year,58,5.5,3.1,2.0
Gary Hill,https://www.basketball-reference.com/players/h/hillga01.html,"October 7, 1941",Oklahoma City University,1964,1965,G,6-4,185,"October 19, 1963",2 years,79,4.7,1.6,1.4
George Hill,https://www.basketball-reference.com/players/h/hillge01.html,"May 4, 1986",IUPUI,2009,2023,G,6-4,188,"November 4, 2008",15 years,915,10.4,3.0,3.1
Grant Hill,https://www.basketball-reference.com/players/h/hillgr01.html,"October 5, 1972",Duke,1995,2013,F-G,6-8,225,"November 4, 1994",18 years,1026,16.7,6.0,4.1
Jordan Hill,https://www.basketball-reference.com/players/h/hilljo01.html,"July 27, 1987",Arizona,2010,2017,C-F,6-10,235,"October 28, 2009",8 years,409,7.9,5.8,0.8
Malcolm Hill,https://www.basketball-reference.com/players/h/hillma01.html,"October 26, 1995",Illinois,2022,2023,F,6-6,220,"December 25, 2021",2 years,24,3.2,1.6,0.3
Simmie Hill,https://www.basketball-reference.com/players/h/hillsi01.html,"November 14, 1946",Wichita State,1970,1974,F,6-7,233,,4 years,252,9.7,5.3,1.3
Solomon Hill,https://www.basketball-reference.com/players/h/hillso01.html,"March 18, 1991",Arizona,2014,2022,F,6-6,226,"October 29, 2013",9 years,448,5.5,3.1,1.5
Steven Hill,https://www.basketball-reference.com/players/h/hillst01.html,"November 14, 1985",Arkansas,2009,2009,C,7-0,248,"November 12, 2008",1 year,1,2.0,3.0,0.0
Tyrone Hill,https://www.basketball-reference.com/players/h/hillty01.html,"March 19, 1968",Xavier,1991,2004,F,6-9,240,"November 2, 1990",14 years,801,9.4,8.6,0.8
Art Hillhouse,https://www.basketball-reference.com/players/h/hillhar01.html,"June 12, 1916",Long Island University,1947,1948,C,6-7,220,"November 7, 1946",2 years,71,5.9,-,0.6
Darrun Hilliard,https://www.basketball-reference.com/players/h/hillida01.html,"April 13, 1993",Villanova,2016,2018,G,6-6,205,"November 23, 2015",3 years,91,3.2,0.9,0.8
Darnell Hillman,https://www.basketball-reference.com/players/h/hillmda01.html,"August 29, 1949",San Jose State,1972,1980,F-C,6-9,215,"October 21, 1976",9 years,682,9.8,7.6,1.4
Fred Hilton,https://www.basketball-reference.com/players/h/hiltofr01.html,"January 15, 1948",Grambling State University,1972,1973,G-F,6-3,185,"October 12, 1971",2 years,120,9.4,2.1,1.6
Kirk Hinrich,https://www.basketball-reference.com/players/h/hinriki01.html,"January 2, 1981",Kansas,2004,2016,G,6-4,190,"November 7, 2003",13 years,879,10.9,2.9,4.8
Roy Hinson,https://www.basketball-reference.com/players/h/hinsoro01.html,"May 2, 1961",Rutgers University,1984,1991,F-C,6-9,210,"October 28, 1983",8 years,507,14.2,6.8,1.0
Nate Hinton,https://www.basketball-reference.com/players/h/hintona01.html,"June 8, 1999",Houston,2021,2022,G,6-5,210,"January 3, 2021",2 years,23,1.8,0.4,0.3
Mel Hirsch,https://www.basketball-reference.com/players/h/hirscme01.html,"July 31, 1921",Brooklyn College,1947,1947,G,5-6,165,,1 year,13,1.5,-,0.8
Lew Hitch,https://www.basketball-reference.com/players/h/hitchle01.html,"July 16, 1929",Kansas State,1952,1957,F-C,6-8,200,"November 3, 1951",6 years,414,5.0,5.3,1.2
Robert Hite,https://www.basketball-reference.com/players/h/hitero01.html,"January 12, 1984",Miami (FL),2007,2007,G,6-2,184,"October 31, 2006",1 year,12,4.3,1.3,0.7
Jaylen Hoard,https://www.basketball-reference.com/players/h/hoardja01.html,"March 30, 1999",Wake Forest,2020,2022,F,6-8,216,"November 10, 2019",3 years,39,6.6,4.6,1.2
Darington Hobson,https://www.basketball-reference.com/players/h/hobsoda01.html,"September 29, 1987",New Mexico,2012,2012,G,6-7,210,"January 7, 2012",1 year,5,0.8,0.6,1.2
Donald Hodge,https://www.basketball-reference.com/players/h/hodgedo01.html,"February 25, 1969",Temple,1992,1996,C,7-0,230,"November 1, 1991",5 years,249,4.7,3.2,0.8
Julius Hodge,https://www.basketball-reference.com/players/h/hodgeju01.html,"November 18, 1983",NC State,2006,2007,G,6-7,210,"November 13, 2005",2 years,23,1.2,0.7,0.8
Craig Hodges,https://www.basketball-reference.com/players/h/hodgecr01.html,"June 27, 1960",Cal State Long Beach,1983,1992,G,6-2,190,"October 29, 1982",10 years,695,8.5,1.3,2.5
Charlie Hoefer,https://www.basketball-reference.com/players/h/hoefech01.html,"September 16, 1921",Queens College,1947,1948,G,5-9,158,"November 1, 1946",2 years,65,5.6,-,0.6
Paul Hoffman,https://www.basketball-reference.com/players/h/hoffmpa01.html,"April 12, 1925",Purdue,1948,1955,G-F,6-2,195,,6 years,317,10.2,5.1,2.9
Bob Hogsett,https://www.basketball-reference.com/players/h/hogsebo01.html,"January 29, 1941",Tennessee,1967,1968,F,6-7,230,"February 19, 1967",2 years,20,1.9,1.3,0.1
Paul Hogue,https://www.basketball-reference.com/players/h/hoguedu01.html,"April 28, 1940",Cincinnati,1963,1964,C,6-9,240,"October 16, 1962",2 years,65,6.3,7.1,0.7
Fred Hoiberg,https://www.basketball-reference.com/players/h/hoibefr01.html,"October 15, 1972",Iowa State,1996,2005,G,6-4,203,"November 4, 1995",10 years,541,5.4,2.7,1.6
Doug Holcomb,https://www.basketball-reference.com/players/h/holcodo01.html,"February 9, 1925",Wisconsin,1949,1949,F,6-4,200,,1 year,3,5.0,-,1.7
Randy Holcomb,https://www.basketball-reference.com/players/h/holcora01.html,"August 8, 1979",Fresno State,2006,2006,F,6-9,225,"January 6, 2006",1 year,4,0.5,0.3,0.0
Aaron Holiday,https://www.basketball-reference.com/players/h/holidaa01.html,"September 30, 1996",UCLA,2019,2023,G,6-0,185,"October 17, 2018",5 years,308,6.6,1.6,2.2
Jrue Holiday,https://www.basketball-reference.com/players/h/holidjr01.html,"June 12, 1990",UCLA,2010,2023,G,6-3,205,"October 30, 2009",14 years,906,16.4,4.1,6.5
Justin Holiday,https://www.basketball-reference.com/players/h/holidju01.html,"April 5, 1989",Washington,2013,2023,F,6-6,180,"April 3, 2013",10 years,622,8.4,2.8,1.4
Brad Holland,https://www.basketball-reference.com/players/h/hollabr01.html,"December 6, 1956",UCLA,1980,1982,G,6-3,180,"October 19, 1979",3 years,93,3.2,0.6,0.7
Joe Holland,https://www.basketball-reference.com/players/h/hollajo01.html,"September 26, 1925",Kentucky,1950,1952,F,6-4,185,"November 1, 1949",3 years,186,5.8,4.2,1.8
John Holland,https://www.basketball-reference.com/players/h/hollajo02.html,"November 6, 1988",Boston University,2018,2019,G-F,6-5,205,"April 19, 2016",3 years,25,2.2,1.0,0.2
Wilbur Holland,https://www.basketball-reference.com/players/h/hollawi01.html,"November 8, 1951",New Orleans,1976,1979,G,6-0,175,"October 23, 1975",4 years,276,13.6,3.1,3.3
Lionel Hollins,https://www.basketball-reference.com/players/h/hollili01.html,"October 19, 1953",Arizona State,1976,1985,G,6-3,185,"November 7, 1975",10 years,673,11.6,2.4,4.5
Ryan Hollins,https://www.basketball-reference.com/players/h/holliry01.html,"October 10, 1984",UCLA,2007,2016,C,7-0,240,"January 17, 2007",10 years,518,3.7,2.2,0.3
Essie Hollis,https://www.basketball-reference.com/players/h/hollies01.html,"May 16, 1955",St. Bonaventure,1979,1979,F,6-6,195,"November 28, 1978",1 year,25,2.8,1.8,0.2
Rondae Hollis-Jefferson,https://www.basketball-reference.com/players/h/holliro01.html,"January 3, 1995",Arizona,2016,2021,F,6-6,217,"October 28, 2015",6 years,305,9.0,5.5,1.9
Dennis Holman,https://www.basketball-reference.com/players/h/holmade01.html,"October 8, 1945",SMU,1968,1968,G,6-3,175,,1 year,46,3.8,1.7,1.6
Richaun Holmes,https://www.basketball-reference.com/players/h/holmeri01.html,"October 15, 1993",Bowling Green,2016,2023,C-F,6-10,235,"October 28, 2015",8 years,418,8.9,5.4,1.0
Jim Holstein,https://www.basketball-reference.com/players/h/holstji01.html,"September 24, 1930",Cincinnati,1953,1956,F-G,6-3,180,"November 1, 1952",4 years,225,3.8,2.9,1.1
A.W. Holt,https://www.basketball-reference.com/players/h/holtaw01.html,"August 26, 1946",Jackson State University,1971,1971,F,6-7,210,"October 25, 1970",1 year,6,0.7,0.7,0.0
Michael Holton,https://www.basketball-reference.com/players/h/holtomi01.html,"August 4, 1961",UCLA,1985,1990,G,6-4,185,"October 26, 1984",6 years,325,6.2,1.4,3.0
Dick Holub,https://www.basketball-reference.com/players/h/holubdi01.html,"October 29, 1921",Long Island University,1948,1948,C,6-6,205,"November 13, 1947",1 year,48,10.5,-,0.8
Joe Holup,https://www.basketball-reference.com/players/h/holupjo01.html,"February 26, 1934",George Washington,1957,1959,F,6-6,215,"October 27, 1956",3 years,192,7.0,4.4,1.0
Red Holzman,https://www.basketball-reference.com/players/h/holzmre01.html,"August 10, 1920",City College of New York,1949,1954,G,5-10,175,"November 6, 1948",6 years,358,6.1,1.5,2.0
Jerald Honeycutt,https://www.basketball-reference.com/players/h/honeyje01.html,"October 20, 1974",Tulane,1998,1999,F-G,6-9,245,"October 31, 1997",2 years,54,5.1,1.9,0.7
Tyler Honeycutt,https://www.basketball-reference.com/players/h/honeyty01.html,"July 15, 1990",UCLA,2012,2013,F,6-8,188,"December 31, 2011",2 years,24,1.2,1.0,0.4
Derek Hood,https://www.basketball-reference.com/players/h/hoodde01.html,"December 22, 1976",Arkansas,2000,2000,F,6-8,222,"November 2, 1999",1 year,2,0.0,0.5,0.0
Rodney Hood,https://www.basketball-reference.com/players/h/hoodro01.html,"October 20, 1992",Mississippi State,2015,2022,G-F,6-8,208,"October 29, 2014",8 years,448,10.4,2.6,1.6
Bobby Hooper,https://www.basketball-reference.com/players/h/hoopebo01.html,"December 22, 1946",Dayton,1969,1969,G,6-0,180,,1 year,54,5.0,2.0,2.6
Carroll Hooser,https://www.basketball-reference.com/players/h/hooseca01.html,"March 5, 1944",SMU,1968,1968,F,6-7,230,,1 year,56,5.6,3.9,0.5
Tom Hoover,https://www.basketball-reference.com/players/h/hooveto01.html,"January 23, 1941",Villanova,1964,1969,C,6-9,230,"October 29, 1963",6 years,223,5.9,6.2,1.1
Bob Hopkins,https://www.basketball-reference.com/players/h/hopkibo01.html,"November 3, 1934",Grambling State University,1957,1960,C-F,6-8,205,"November 10, 1956",4 years,273,8.2,5.6,0.7
Dave Hoppen,https://www.basketball-reference.com/players/h/hoppeda01.html,"March 13, 1964",Nebraska,1988,1993,C-F,6-11,235,"January 14, 1988",6 years,169,5.0,3.8,0.6
Dennis Hopson,https://www.basketball-reference.com/players/h/hopsode01.html,"April 22, 1965",Ohio State,1988,1992,G-F,6-5,200,"November 6, 1987",5 years,334,10.9,2.8,1.6
Scotty Hopson,https://www.basketball-reference.com/players/h/hopsosc01.html,"August 8, 1989",Tennessee,2014,2022,G,6-7,204,"April 2, 2014",3 years,4,1.5,0.3,0.8
Johnny Horan,https://www.basketball-reference.com/players/h/horanjo01.html,"November 24, 1932",Dayton,1956,1956,F,6-8,190,"November 5, 1955",1 year,19,1.8,0.5,0.1
Cedrick Hordges,https://www.basketball-reference.com/players/h/hordgce01.html,"January 8, 1957",Auburn,1981,1982,F-C,6-8,220,"October 10, 1980",2 years,145,7.6,5.9,1.2
Al Horford,https://www.basketball-reference.com/players/h/horfoal01.html,"June 3, 1986",Florida,2008,2023,C-F,6-9,240,"November 2, 2007",16 years,1013,13.4,8.1,3.3
Tito Horford,https://www.basketball-reference.com/players/h/horfoti01.html,"January 19, 1966",Miami (FL),1989,1994,C,7-1,245,"November 9, 1988",3 years,63,1.5,1.3,0.1
Ron Horn,https://www.basketball-reference.com/players/h/hornro01.html,"May 24, 1938",Indiana,1962,1968,F,6-7,220,"November 22, 1961",3 years,32,2.5,2.4,0.3
Jeff Hornacek,https://www.basketball-reference.com/players/h/hornaje01.html,"May 3, 1963",Iowa State,1987,2000,G,6-3,190,"October 31, 1986",14 years,1077,14.5,3.4,4.9
Dennis Horner,https://www.basketball-reference.com/players/h/hornede01.html,"February 5, 1988",NC State,2012,2012,F,6-9,230,"December 27, 2011",1 year,8,0.6,0.6,0.0
Robert Horry,https://www.basketball-reference.com/players/h/horryro01.html,"August 25, 1970",Alabama,1993,2008,F,6-10,240,"November 6, 1992",16 years,1107,7.0,4.8,2.1
Ed Horton,https://www.basketball-reference.com/players/h/hortoed01.html,"December 17, 1967",Iowa,1990,1990,F,6-8,230,"November 3, 1989",1 year,45,4.5,2.4,0.4
Talen Horton-Tucker,https://www.basketball-reference.com/players/h/hortota01.html,"November 25, 2000",Iowa State,2020,2023,G-F,6-4,234,"December 8, 2019",4 years,196,9.8,3.0,3.0
Bill Hosket,https://www.basketball-reference.com/players/h/hoskebi01.html,"December 20, 1946",Ohio State,1969,1972,F-C,6-8,225,"November 1, 1968",4 years,143,4.0,2.5,0.7
Bob Houbregs,https://www.basketball-reference.com/players/h/houbrbo01.html,"March 12, 1932",Washington,1954,1958,C-F,6-8,225,"October 30, 1953",5 years,281,9.3,5.5,1.8
Danuel House Jr.,https://www.basketball-reference.com/players/h/houseda01.html,"June 7, 1993",Texas A&M,2017,2023,G,6-6,220,"November 11, 2016",7 years,260,7.7,3.2,1.2
Eddie House,https://www.basketball-reference.com/players/h/houseed01.html,"May 14, 1978",Arizona State,2001,2011,G,6-1,180,"November 1, 2000",11 years,717,7.5,1.7,1.6
Caleb Houstan,https://www.basketball-reference.com/players/h/houstca01.html,"January 9, 2003",Michigan,2023,2023,G-F,6-8,205,"October 19, 2022",1 year,51,3.8,1.9,0.6
Allan Houston,https://www.basketball-reference.com/players/h/houstal01.html,"April 20, 1971",Tennessee,1994,2005,G,6-6,200,"November 5, 1993",12 years,839,17.3,2.9,2.4
Byron Houston,https://www.basketball-reference.com/players/h/houstby01.html,"November 22, 1969",Oklahoma State,1993,1996,F,6-5,250,"November 6, 1992",4 years,214,3.9,3.0,0.5
Tom Hovasse,https://www.basketball-reference.com/players/h/hovasto01.html,"January 31, 1967",Penn State,1995,1995,F,6-8,205,"November 4, 1994",1 year,2,0.0,0.0,0.0
Brian Howard,https://www.basketball-reference.com/players/h/howarbr01.html,"October 19, 1967",NC State,1992,1993,F,6-6,204,"February 4, 1992",2 years,95,6.0,2.8,0.9
Dwight Howard,https://www.basketball-reference.com/players/h/howardw01.html,"December 8, 1985",None,2005,2022,C,6-10,265,"November 3, 2004",18 years,1242,15.7,11.8,1.3
Greg Howard,https://www.basketball-reference.com/players/h/howargr01.html,"January 8, 1948",New Mexico,1971,1972,F-C,6-9,215,"October 15, 1970",2 years,92,3.4,2.5,0.6
Josh Howard,https://www.basketball-reference.com/players/h/howarjo01.html,"April 28, 1980",Wake Forest,2004,2013,F-G,6-7,210,"October 28, 2003",10 years,507,14.3,5.7,1.6
Juwan Howard,https://www.basketball-reference.com/players/h/howarju01.html,"February 7, 1973",Michigan,1995,2013,F,6-9,240,"November 19, 1994",19 years,1208,13.4,6.1,2.2
Markus Howard,https://www.basketball-reference.com/players/h/howarma02.html,"March 3, 1999",Marquette,2021,2022,G,5-10,175,"December 25, 2020",2 years,68,3.4,0.5,0.4
Mo Howard,https://www.basketball-reference.com/players/h/howarmo01.html,"August 25, 1954",Maryland,1977,1977,G,6-2,170,"October 28, 1976",1 year,32,4.8,1.2,1.3
Otis Howard,https://www.basketball-reference.com/players/h/howarot01.html,"November 5, 1956",Austin Peay State University,1979,1979,F,6-7,220,"October 14, 1978",1 year,14,4.2,2.9,0.4
Stephen Howard,https://www.basketball-reference.com/players/h/howarst01.html,"July 15, 1970",DePaul,1993,1998,F,6-9,225,"November 6, 1992",4 years,120,2.8,1.4,0.2
William Howard,https://www.basketball-reference.com/players/h/howarwi01.html,"October 25, 1993",None,2020,2020,F,6-8,207,"February 7, 2020",1 year,2,0.0,1.0,0.5
Bailey Howell,https://www.basketball-reference.com/players/h/howelba01.html,"January 20, 1937",Mississippi State,1960,1971,F,6-7,210,"October 18, 1959",12 years,950,18.7,9.9,2.0
Bob Hubbard,https://www.basketball-reference.com/players/h/hubbabo01.html,"December 27, 1922",Springfield College,1948,1949,C-F,6-6,215,,2 years,62,3.6,-,0.5
Phil Hubbard,https://www.basketball-reference.com/players/h/hubbaph01.html,"December 13, 1956",Michigan,1980,1989,F-C,6-8,215,"October 12, 1979",10 years,665,10.9,5.3,1.3
Trevor Hudgins,https://www.basketball-reference.com/players/h/hudgitr01.html,"March 23, 1999",Northwest Missouri State University,2023,2023,G,6-0,180,"October 22, 2022",1 year,5,1.8,0.0,0.6
Lester Hudson,https://www.basketball-reference.com/players/h/hudsole01.html,"August 7, 1984",University of Tennessee at Martin,2010,2015,G,6-3,190,"October 28, 2009",4 years,57,4.7,1.4,1.2
Lou Hudson,https://www.basketball-reference.com/players/h/hudsolo01.html,"July 11, 1944",Minnesota,1967,1979,F-G,6-5,210,"October 15, 1966",13 years,890,20.2,4.4,2.7
Troy Hudson,https://www.basketball-reference.com/players/h/hudsotr01.html,"March 13, 1976",Missouri,1998,2008,G,6-1,170,"October 31, 1997",11 years,517,9.0,1.7,3.4
Marcelo Huertas,https://www.basketball-reference.com/players/h/huertma01.html,"May 25, 1983",None,2016,2017,G,6-3,200,"October 28, 2015",2 years,76,3.9,1.5,3.1
Kevin Huerter,https://www.basketball-reference.com/players/h/huertke01.html,"August 27, 1998",Maryland,2019,2023,G,6-7,190,"October 17, 2018",5 years,349,12.2,3.5,3.1
Josh Huestis,https://www.basketball-reference.com/players/h/huestjo01.html,"December 19, 1991",Stanford,2016,2018,F,6-7,230,"March 24, 2016",3 years,76,2.5,2.4,0.3
Jay Huff,https://www.basketball-reference.com/players/h/huffja01.html,"August 25, 1998",Virginia,2022,2023,F-C,7-1,240,"November 6, 2021",2 years,11,4.6,2.3,1.0
Nate Huffman,https://www.basketball-reference.com/players/h/huffmna01.html,"April 2, 1975",Central Michigan University,2003,2003,C,7-1,245,"December 8, 2002",1 year,7,3.3,3.3,0.7
Alfredrick Hughes,https://www.basketball-reference.com/players/h/hugheri01.html,"July 19, 1962",Loyola Chicago,1986,1986,F-G,6-5,215,"October 26, 1985",1 year,68,5.2,1.7,0.9
Eddie Hughes,https://www.basketball-reference.com/players/h/hugheed01.html,"May 26, 1960",Colorado State,1988,1990,G,5-10,165,"March 24, 1988",3 years,97,3.1,1.0,1.6
Elijah Hughes,https://www.basketball-reference.com/players/h/hugheel01.html,"March 10, 1998",Syracuse,2021,2022,F,6-5,215,"December 23, 2020",2 years,54,2.9,1.2,0.5
Kim Hughes,https://www.basketball-reference.com/players/h/hugheki01.html,"June 4, 1952",Wisconsin,1976,1981,C,6-11,220,"October 22, 1976",6 years,425,3.8,5.6,0.9
Larry Hughes,https://www.basketball-reference.com/players/h/hughela01.html,"January 23, 1979",Saint Louis,1999,2012,G,6-5,184,"February 5, 1999",13 years,727,14.1,4.2,3.1
